"Timestamp","Do you plan to vote in 2019 election?","According to your opinion, in your area which party has the highest possibility of wining the next presidential election ?","Who are you planning to vote in the coming election ?","Reason for above selection ?","What is the most important factor you will consider when voting ?","What is your age range?","Male / Female","What is your religion?","What is your highest educational qualification?","What is your current employment status ?","What is your ethnicity?","Your province?","District","Who do you think has the best expertise in the area of national security? ","Who do you think has the best expertise in the area of national development? ","Which candidate has the best answer for unemployment?","Which candidate has the best answer for cost of living?","Which candidate has the best answer to religious and ethnic issues?"
"2019/11/06 7:57:46 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Mahesh Senanayake (National People's Party)","He represents a mechanism that is designed by intellectuals in the country","National development","25 - 35","Male","Buddhism","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Western","Colombo","Mahesh Senanayake","Mahesh Senanayake","Nandasena Gotabaya Rajapaksa","Anura Kumara Dissanayake","Anura Kumara Dissanayake"
"2019/11/06 9:47:15 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","National development","25 - 35","Female","Buddhism","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Western","Gampaha","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/06 9:53:30 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","He has strong a backbone to control this country ","Other","25 - 35","Male","Buddhism","Degree / Higher diploma or Professional qualification","Stuent","Sinhala","Western","Gampaha","","","","",""
"2019/11/06 10:22:36 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","Diplomacy","National development","25 - 35","Male","Catholic","Degree / Higher diploma or Professional qualification","Private Sector employee","Indian Tamil","Western","Colombo","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Sajith Premadasa","Nandasena Gotabaya Rajapaksa","Anura Kumara Dissanayake"
"2019/11/06 10:34:46 pm GMT+5:30","Yes","New Democratic Front (NDF)","Sajith Premadasa (New Democratic Front)","","Cost of living","25 - 35","Male","Islam","Degree / Higher diploma or Professional qualification","Private Sector employee","Sri Lankan Moor","Western","Batticaloa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa"
"2019/11/06 11:40:43 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","National security","25 - 35","Male","Buddhism","Degree / Higher diploma or Professional qualification","Self-employed","Sinhala","Western","Gampaha","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa"
"2019/11/07 5:45:25 am GMT+5:30","Yes","New Democratic Front (NDF)","Sajith Premadasa (New Democratic Front)","Geniune and has helped poor by building houses. Hoping to see more developments from him","National development","25 - 35","Male","Hinduism","Degree / Higher diploma or Professional qualification","Private Sector employee","Sri Lankan Tamil","Western","Colombo","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa"
"2019/11/07 6:44:10 am GMT+5:30","No","Sri Lanka Podujana Peramuna (SLPP)","Sajith Premadasa (New Democratic Front)","","National development","35 - 55","Male","Buddhism","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Western","Colombo","Mahesh Senanayake","Nandasena Gotabaya Rajapaksa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa"
"2019/11/07 7:51:59 am GMT+5:30","Yes","National People's Party (NPP)","Sajith Premadasa (New Democratic Front)","","National development","25 - 35","Male","Buddhism","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Western","Colombo","Anura Kumara Dissanayake","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa","Anura Kumara Dissanayake"
"2019/11/07 8:30:12 am GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","Diplomacy","National development","25 - 35","Male","Catholic","Degree / Higher diploma or Professional qualification","Private Sector employee","Indian Tamil","Western","Colombo","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Sajith Premadasa","Nandasena Gotabaya Rajapaksa","Anura Kumara Dissanayake"
"2019/11/07 9:33:20 am GMT+5:30","Yes","National People's Party (NPP)","Sajith Premadasa (New Democratic Front)","Game is between gota n sajith. I dont want gota to win cz of mahinda and his sons ruling this country in a thuggish manner","Cost of living","25 - 35","Female","Buddhism","Master's degree","Private Sector employee","Sinhala","Western","Colombo","Mahesh Senanayake","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Anura Kumara Dissanayake"
"2019/11/07 10:21:32 am GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","No other option","National security","25 - 35","Male","Buddhism","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Western","Colombo","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/07 11:41:09 am GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","National security","25 - 35","Male","Buddhism","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Western","Colombo","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/07 12:18:57 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","Need Secure Country.","National security","25 - 35","Male","Catholic","Master's degree","Private Sector employee","Sinhala","North Western","Kurunegala","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/07 1:35:30 pm GMT+5:30","Yes","National People's Party (NPP)","Mahesh Senanayake (National People's Party)","","National development","25 - 35","Female","Buddhism","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Western","Gampaha","Mahesh Senanayake","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Mahesh Senanayake","Nandasena Gotabaya Rajapaksa"
"2019/11/07 1:59:04 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Mahesh Senanayake (National People's Party)","To change the system and stop the corruption. And also we should increase the national security. ","National security","25 - 35","Female","Buddhism","Degree / Higher diploma or Professional qualification","Self-employed","Sinhala","Western","Gampaha","Mahesh Senanayake","Mahesh Senanayake","Mahesh Senanayake","Mahesh Senanayake","Mahesh Senanayake"
"2019/11/07 2:32:03 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","National security","25 - 35","Female","Buddhism","Master's degree","Government employee","Sinhala","Southern","Galle","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Other","Other","Nandasena Gotabaya Rajapaksa"
"2019/11/07 6:10:03 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","National security","Less than 25","Male","Buddhism","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Western","Gampaha","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/08 8:11:00 am GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","A man with his world ","National security","25 - 35","Male","Buddhism","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Southern","Galle","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Anura Kumara Dissanayake"
"2019/11/08 8:11:21 am GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","A man with his world ","National security","25 - 35","Male","Buddhism","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Southern","Galle","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Anura Kumara Dissanayake"
"2019/11/08 8:16:30 am GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","Security","National security","25 - 35","Male","Buddhism","Degree / Higher diploma or Professional qualification","Self-employed","Sinhala","Western","Colombo","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/08 4:01:57 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","National security","35 - 55","Male","Catholic","Master's degree","Private Sector employee","Sri Lankan Tamil","Eastern","Jaffna","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/08 4:04:39 pm GMT+5:30","Not sure","New Democratic Front (NDF)","Sajith Premadasa (New Democratic Front)","","National development","25 - 35","Male","Catholic","Degree / Higher diploma or Professional qualification","Government employee","Sri Lankan Tamil","Eastern","Batticaloa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Sajith Premadasa","Sajith Premadasa","Nandasena Gotabaya Rajapaksa"
"2019/11/08 4:07:47 pm GMT+5:30","Not sure","New Democratic Front (NDF)","Sajith Premadasa (New Democratic Front)","","Employment opportunities","35 - 55","Female","Hinduism","A/L","Housewife","Sri Lankan Tamil","Sabaragamuwa","Kegalle","Nandasena Gotabaya Rajapaksa","Sajith Premadasa","Nandasena Gotabaya Rajapaksa","Sajith Premadasa","Nandasena Gotabaya Rajapaksa"
"2019/11/08 4:10:30 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","National development","35 - 55","Female","Catholic","Degree / Higher diploma or Professional qualification","Private Sector employee","Burgher","North Central","Polonnaruwa","Nandasena Gotabaya Rajapaksa","","Anura Kumara Dissanayake","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/08 4:12:51 pm GMT+5:30","Not sure","National People's Power (NPP)","Anura Kumara Dissanayake (National People's Power)","","National development","35 - 55","Male","Catholic","Degree / Higher diploma or Professional qualification","Private Sector employee","Sri Lankan Tamil","Sabaragamuwa","Kegalle","Nandasena Gotabaya Rajapaksa","Anura Kumara Dissanayake","Anura Kumara Dissanayake","Anura Kumara Dissanayake","Anura Kumara Dissanayake"
"2019/11/08 4:15:28 pm GMT+5:30","Yes","National People's Power (NPP)","Anura Kumara Dissanayake (National People's Power)","","Cost of living","Less than 25","Male","Catholic","Degree / Higher diploma or Professional qualification","Private Sector employee","Burgher","Uva","Nuwara Eliya","Nandasena Gotabaya Rajapaksa","Anura Kumara Dissanayake","Anura Kumara Dissanayake","Anura Kumara Dissanayake","Nandasena Gotabaya Rajapaksa"
"2019/11/08 4:37:06 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","National development","35 - 55","Male","Hinduism","A/L","Private Sector employee","Sri Lankan Tamil","Uva","Monaragala","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Sajith Premadasa","Anura Kumara Dissanayake","Nandasena Gotabaya Rajapaksa"
"2019/11/08 4:40:24 pm GMT+5:30","Yes","New Democratic Front (NDF)","Sajith Premadasa (New Democratic Front)","","Employment opportunities","35 - 55","Female","Hinduism","Degree / Higher diploma or Professional qualification","Private Sector employee","Sri Lankan Tamil","Sabaragamuwa","Kegalle","Nandasena Gotabaya Rajapaksa","Sajith Premadasa","Anura Kumara Dissanayake","Sajith Premadasa","Nandasena Gotabaya Rajapaksa"
"2019/11/08 4:42:35 pm GMT+5:30","Not sure","New Democratic Front (NDF)","Sajith Premadasa (New Democratic Front)","","Cost of living","25 - 35","Female","Catholic","A/L","Housewife","Sinhala","Uva","Nuwara Eliya","Nandasena Gotabaya Rajapaksa","Sajith Premadasa","Anura Kumara Dissanayake","Nandasena Gotabaya Rajapaksa","Sajith Premadasa"
"2019/11/08 5:05:24 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","National security","25 - 35","Male","Hinduism","Master's degree","Government employee","Sri Lankan Tamil","Sabaragamuwa","Matale","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/08 5:08:15 pm GMT+5:30","Not sure","New Democratic Front (NDF)","Sajith Premadasa (New Democratic Front)","","Ethnic issues","Greater than 55","Male","Catholic","Degree / Higher diploma or Professional qualification","Self-employed","Burgher","Uva","Monaragala","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Sajith Premadasa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/08 5:09:59 pm GMT+5:30","Not sure","National People's Power (NPP)","Anura Kumara Dissanayake (National People's Power)","","Cost of living","25 - 35","Male","Hinduism","Degree / Higher diploma or Professional qualification","Self-employed","Sri Lankan Tamil","Northern","Jaffna","Nandasena Gotabaya Rajapaksa","Anura Kumara Dissanayake","Anura Kumara Dissanayake","Anura Kumara Dissanayake","Anura Kumara Dissanayake"
"2019/11/08 5:11:36 pm GMT+5:30","Yes","National People's Power (NPP)","Anura Kumara Dissanayake (National People's Power)","","Cost of living","35 - 55","Male","Buddhism","A/L","Self-employed","Sinhala","Southern","Matara","Nandasena Gotabaya Rajapaksa","Anura Kumara Dissanayake","Anura Kumara Dissanayake","Anura Kumara Dissanayake","Anura Kumara Dissanayake"
"2019/11/08 5:27:20 pm GMT+5:30","Yes","New Democratic Front (NDF)","Sajith Premadasa (New Democratic Front)","","Employment opportunities","25 - 35","Male","Catholic","A/L","Self-employed","Sinhala","Sabaragamuwa","Matale","Nandasena Gotabaya Rajapaksa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa"
"2019/11/08 5:29:12 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","National security","25 - 35","Female","Hinduism","A/L","Housewife","Sri Lankan Tamil","Northern","Kilinochchi","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/08 6:38:21 pm GMT+5:30","Not sure","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","National security","25 - 35","Female","Buddhism","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Uva","Monaragala","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/08 6:39:22 pm GMT+5:30","Not sure","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","National development","25 - 35","Male","Catholic","A/L","Self-employed","Sinhala","Sabaragamuwa","Kegalle","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/08 6:41:06 pm GMT+5:30","Not sure","New Democratic Front (NDF)","Sajith Premadasa (New Democratic Front)","","National development","25 - 35","Male","Catholic","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Sabaragamuwa","Matale","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa"
"2019/11/08 6:44:04 pm GMT+5:30","Not sure","New Democratic Front (NDF)","Sajith Premadasa (New Democratic Front)","","Cost of living","25 - 35","Male","Catholic","Degree / Higher diploma or Professional qualification","Government employee","Sri Lankan Tamil","Northern","Mullaitivu","Nandasena Gotabaya Rajapaksa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa"
"2019/11/08 6:47:28 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","National security","25 - 35","Male","Buddhism","A/L","Private Sector employee","Sinhala","Central","Anuradhapura","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/08 6:50:48 pm GMT+5:30","Not sure","New Democratic Front (NDF)","Sajith Premadasa (New Democratic Front)","","Cost of living","Less than 25","Female","Catholic","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","North Western","Puttalam","Nandasena Gotabaya Rajapaksa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa"
"2019/11/08 7:10:21 pm GMT+5:30","Not sure","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","National development","35 - 55","Male","Catholic","Degree / Higher diploma or Professional qualification","Housewife","Sinhala","North Western","Kurunegala","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/08 7:14:38 pm GMT+5:30","Yes","New Democratic Front (NDF)","Sajith Premadasa (New Democratic Front)","","Cost of living","25 - 35","Male","Hinduism","A/L","Self-employed","Sri Lankan Tamil","Northern","Jaffna","Nandasena Gotabaya Rajapaksa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa"
"2019/11/08 7:16:21 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","National security","25 - 35","Male","Catholic","A/L","Private Sector employee","Sri Lankan Tamil","North Western","Puttalam","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/08 7:17:42 pm GMT+5:30","Not sure","New Democratic Front (NDF)","Sajith Premadasa (New Democratic Front)","","Cost of living","35 - 55","Female","Buddhism","A/L","Housewife","Sinhala","North Western","Kurunegala","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa"
"2019/11/08 7:19:50 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","National security","35 - 55","Male","Buddhism","A/L","Private Sector employee","Sinhala","Sabaragamuwa","Kegalle","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/08 7:22:51 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","National security","35 - 55","Male","Buddhism","Degree / Higher diploma or Professional qualification","Government employee","Sinhala","Western","Kalutara","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/08 7:25:34 pm GMT+5:30","Yes","National People's Power (NPP)","Anura Kumara Dissanayake (National People's Power)","","Cost of living","35 - 55","Male","Catholic","A/L","Self-employed","Sinhala","North Central","Puttalam","Nandasena Gotabaya Rajapaksa","Anura Kumara Dissanayake","Anura Kumara Dissanayake","Anura Kumara Dissanayake","Anura Kumara Dissanayake"
"2019/11/08 7:27:22 pm GMT+5:30","Yes","New Democratic Front (NDF)","Sajith Premadasa (New Democratic Front)","","National development","25 - 35","Female","Catholic","A/L","Housewife","Sinhala","Uva","Monaragala","Nandasena Gotabaya Rajapaksa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa"
"2019/11/08 7:29:01 pm GMT+5:30","Not sure","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","National security","Less than 25","Male","Buddhism","Degree / Higher diploma or Professional qualification","Self-employed","Sinhala","Southern","Matara","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/08 7:31:14 pm GMT+5:30","Not sure","New Democratic Front (NDF)","Sajith Premadasa (New Democratic Front)","","Employment opportunities","35 - 55","Male","Catholic","Degree / Higher diploma or Professional qualification","Private Sector employee","Sri Lankan Tamil","Sabaragamuwa","Kegalle","Nandasena Gotabaya Rajapaksa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa"
"2019/11/08 7:32:30 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","National security","25 - 35","Male","Buddhism","Master's degree","Private Sector employee","Sinhala","Western","Colombo","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/08 7:35:17 pm GMT+5:30","Not sure","New Democratic Front (NDF)","Sajith Premadasa (New Democratic Front)","","Employment opportunities","Less than 25","Male","Buddhism","A/L","Private Sector employee","Sinhala","Uva","Monaragala","Nandasena Gotabaya Rajapaksa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa"
"2019/11/08 7:36:27 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","National development","35 - 55","Female","Catholic","A/L","Housewife","Sri Lankan Tamil","Eastern","Batticaloa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/08 7:38:00 pm GMT+5:30","Not sure","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","Religious issues","25 - 35","Male","Buddhism","A/L","Government employee","Sinhala","Sabaragamuwa","Kegalle","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/08 7:39:38 pm GMT+5:30","Yes","New Democratic Front (NDF)","Sajith Premadasa (New Democratic Front)","","National development","35 - 55","Male","Hinduism","Degree / Higher diploma or Professional qualification","Housewife","Sri Lankan Tamil","Eastern","Jaffna","Nandasena Gotabaya Rajapaksa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa"
"2019/11/08 7:41:21 pm GMT+5:30","Yes","National People's Power (NPP)","Anura Kumara Dissanayake (National People's Power)","","Cost of living","Less than 25","Male","Catholic","A/L","Private Sector employee","Sinhala","Northern","Mullaitivu","Nandasena Gotabaya Rajapaksa","Anura Kumara Dissanayake","Anura Kumara Dissanayake","Anura Kumara Dissanayake","Anura Kumara Dissanayake"
"2019/11/08 7:43:05 pm GMT+5:30","Not sure","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","National security","35 - 55","Male","Buddhism","Degree / Higher diploma or Professional qualification","Government employee","Sinhala","Sabaragamuwa","Kegalle","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/08 7:44:52 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","National security","Less than 25","Female","Catholic","A/L","Housewife","Sri Lankan Tamil","Uva","Nuwara Eliya","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/08 7:47:14 pm GMT+5:30","Not sure","New Democratic Front (NDF)","Sajith Premadasa (New Democratic Front)","","Employment opportunities","35 - 55","Male","Catholic","Degree / Higher diploma or Professional qualification","Self-employed","Sinhala","Sabaragamuwa","Matale","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa"
"2019/11/08 7:49:18 pm GMT+5:30","Not sure","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","National security","25 - 35","Male","Catholic","A/L","Self-employed","Sri Lankan Tamil","Central","Polonnaruwa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/08 7:56:47 pm GMT+5:30","Yes","New Democratic Front (NDF)","Sajith Premadasa (New Democratic Front)","","Cost of living","25 - 35","Female","Catholic","A/L","Self-employed","Sri Lankan Tamil","Northern","Jaffna","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa","Nandasena Gotabaya Rajapaksa","Sajith Premadasa"
"2019/11/08 7:59:45 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","National security","25 - 35","Female","Hinduism","A/L","Private Sector employee","Indian Tamil","Uva","Nuwara Eliya","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
